CustomerName,CustomerAddress,ContactDetails
Vera Labado,"Nienkelaan 1, 2509BE, Maastricht",0889-724320
Amber van Loon,"Jiphof 242, 2781IC, Leeuwarden",(0888) 984459
Victor Kort,"Veralaan 710, 6043LZ, Vredepeel",0408 905763
Lex Sterkman,"Tarabaan 85, 2716 BL, Houwerzijl",(0995) 604171
Silke van Opper-Lotharingen-Kuijpers,"Mirthehof 816, 1887KA, Nijkerkerveen",+31(0)334-686965
Nadine Pieters van der Maes,"Mellehof 76, 9022LT, Delden",051 9150267
Youssef van den Nyeuwenhuysen-van den Nuwenhuysen,"Juliebaan 4, 8968QO, Terschuur",+31(0)59 0806862
Ilse Olykan,"Pieterlaan 06, 4009 FS, Noordeinde Gld",(0756) 474794
Olivia Hakker,"Wesselstraat 8, 8972RT, Loo Gld",076 5900170
Sil Carnotte,"Xavistraat 8, 6960 TQ, Lichtenvoorde",+31199-202066
Dex Veenstra,"Annesingel 6, 3110QE, Bunne",040-0544065
Lola Adriaansen,"Bastiaanboulevard 362, 9290FF, Egmond aan Zee",0978-239296
Nora Brandt,"Faybaan 323, 7690LS, Well L",036 1843596
Aimée Lathrope,"Noahsteeg 62, 4799 XG, Kootstertille",+31(0)026 020888
Mats Lorreijn,"Isedreef 1, 8129 CT, Nieuwebrug",+3175 8269404
Floortje Eckhardt,"Fennasingel 011, 8610 XO, Wetsinge",+31644-610617
Collin van Opper-Lotharingen,"Felinedreef 59, 6671 JJ, Pijnacker",0894-020207
Anouk Peters-Adriaensdr,"Lisannelaan 466, 3994OT, Lage Zwaluwe",049 2022893
Lieve Otte,"Rosaliedreef 43, 2206KS, Stitswerd",+31515 314537
